'time','voltage'
0,-8.9
1,-14
2,-18.8
3,-23.5
4,-28
5,-32.901
6,-38.201
7,-43.901
8,-49.401
9,-54.101
10,-57.601
11,-59.601
12,-60.501
13,-60.601
14,-60.401
15,-59.801
16,-59.001
17,-57.701
18,-55.801
19,-53.101
20,-49.501
21,-45.001
22,-39.701
23,-33.801
24,-27.9
25,-22.3
26,-17.3
27,-13
28,-9.5
29,-6.7
30,-4.6
31,-2.8
32,-1.2
33,0.6
34,2.6
35,4.5
36,5.9
37,6.3
38,5.6
39,4.2
40,2.6
41,1.7
42,1.9
43,2.8
44,4
45,4.6
46,4.4
47,3.4
48,2.2
49,1.3
50,0.9
51,1
52,1.2
53,1.2
54,0.9
55,0.6
56,0.4
57,0.5
58,0.6
59,0.6
60,0.3
61,-0.2
62,-0.8
63,-1
64,-0.6
65,0
66,0.7
67,1
68,0.9
69,0.5
70,0.3
71,0.7
72,1.7
73,2.9
74,3.8
75,4.1
76,3.5
77,2.5
78,1.4
79,0.6
80,0.2
81,0.1
82,0.2
83,0.3
84,0.3
85,0.2
86,-0.2
87,-1
88,-1.9
89,-2.6
90,-2.6
91,-1.7
92,-0.1
93,1.4
94,2.2
95,2.2
96,1.3
97,0.2
98,-0.5
99,-0.8
100,-0.7
101,-0.5
102,-0.4
103,-0.6
104,-0.8
105,-0.9
106,-0.9
107,-0.7
108,-0.4
109,-0.3
110,-0.2
111,-0.2
112,-0.1
113,0
114,0.2
115,0.4
116,0.7
117,1.2
118,1.6
119,1.9
120,2.1
121,2.1
122,2.1
123,2.3
124,2.7
125,3.4
126,4.1
127,4.4
128,4.4
129,4.2
130,4.1
131,4.5
132,5.3
133,6.2
134,6.5
135,5.8
136,4.1
137,2.2
138,0.6
139,-0.1
140,0.1
141,0.6
142,0.5
143,-0.3
144,-1.8
145,-3.2
146,-4.1
147,-4.1
148,-3.7
149,-3.3
150,-3.4
151,-4
152,-4.7
153,-5.2
154,-5.5
155,-5.7
156,-6
157,-6.5
158,-7.2
159,-7.7
160,-8
161,-8.2
162,-8.7
163,-9.4
164,-10.2
165,-10.7
166,-10.6
167,-9.7
168,-8.6
169,-7.5
170,-6.8
171,-6.4
172,-6
173,-5.1
174,-3.6
175,-1.5
176,1.1
177,3.9
178,6.8
179,9.5
180,11.7
181,12.8
182,12.5
183,10.7
184,8
185,5
186,2
187,-0.6
188,-3.2
189,-6
190,-9.2
191,-12.4
192,-15.2
193,-17.1
194,-17.8
195,-17.5
196,-16.6
197,-15.7
198,-15
199,-14.9
200,-14.9
201,-14.8
202,-14.2
203,-13
204,-11.4
205,-10
206,-9.2
207,-9.3
208,-10.1
209,-11.2
210,-12.1
211,-12.8
212,-13.4
213,-14.1
214,-15.1
215,-16.3
216,-17.3
217,-17.9
218,-18
219,-17.8
220,-17.6
221,-17.5
222,-17.5
223,-17.4
224,-16.9
225,-16.1
226,-15.2
227,-14.4
228,-13.8
229,-13.2
230,-12.5
231,-11.6
232,-10.6
233,-9.9
234,-10
235,-11
236,-12.6
237,-14.3
238,-15.7
239,-16.4
240,-16.8
241,-17.1
242,-17.7
243,-18.7
244,-19.9
245,-20.7
246,-21.1
247,-20.9
248,-20.3
249,-19.6
250,-19.2
251,-19.1
252,-19.2
253,-19.4
254,-19.7
255,-19.9
256,-20
257,-20
258,-19.9
259,-19.6
260,-19
261,-18
262,-16.9
263,-15.7
264,-14.7
265,-13.9
266,-13.4
267,-13
268,-12.3
269,-11.4
270,-10.2
271,-9
272,-8.3
273,-8.1
274,-8.3
275,-8.4
276,-7.9
277,-6.6
278,-4.6
279,-2.4
280,-0.6
281,0.4
282,0.7
283,0.8
284,0.9
285,1.4
286,2.1
287,2.6
288,2.7
289,2.3
290,1.8
291,1.4
292,1.4
293,2
294,3
295,4.2
296,5.4
297,6.5
298,7.3
299,7.7
300,7.8
301,7.7
302,7.4
303,7
304,6.5
305,5.9
306,5.2
307,4.6
308,4
309,3.8
310,3.9
311,4.2
312,4.5
313,4.7
314,4.7
315,4.8
316,5.2
317,5.6
318,6
319,6.1
320,5.9
321,5.7
322,5.5
323,5.7
324,6.2
325,6.6
326,6.9
327,7
328,6.9
329,7.1
330,7.6
331,8.5
332,9.7
333,10.9
334,11.8
335,12.3
336,12.3
337,11.9
338,11.2
339,10.4
340,9.6
341,9
342,8.4
343,7.7
344,6.8
345,5.9
346,5.3
347,5.2
348,5.7
349,6.5
350,7.2
351,7.5
352,7.2
353,6.5
354,5.9
355,5.6
356,5.7
357,6
358,5.9
359,5.2
360,4
361,2.7
362,1.8
363,1.6
364,1.9
365,2.4
366,2.7
367,2.9
368,2.9
369,3.1
370,3.5
371,3.9
372,4
373,3.7
374,3.2
375,2.8
376,2.9
377,3.4
378,4.3
379,5.1
380,5.8
381,6.4
382,6.9
383,7.4
384,7.8
385,7.9
386,7.6
387,7.1
388,6.6
389,6.2
390,6.1
391,6.2
392,6.3
393,6.3
394,6.1
395,5.9
396,5.7
397,5.5
398,5.6
399,5.8
400,6.2
401,6.6
402,6.7
403,6.4
404,5.5
405,4.4
406,3.4
407,3
408,3.2
409,4
410,4.9
411,5.6
412,5.7
413,5.5
414,5.1
415,4.7
416,4.5
417,4.2
418,3.9
419,3.7
420,3.8
421,4.4
422,5.5
423,6.8
424,7.9
425,8.4
426,8.2
427,7.6
428,7
429,6.8
430,6.9
431,7.1
432,7
433,6.3
434,5.2
435,4
436,3.2
437,3.1
438,3.6
439,4.5
440,5.5
441,6.2
442,6.6
443,6.6
444,6.6
445,6.7
446,7
447,7.7
448,8.5
449,9.4
450,10.1
451,10.6
452,11
453,11.5
454,12.1
455,12.8
456,13.2
457,12.9
458,12.1
459,10.7
460,9.5
461,8.8
462,8.6
463,9
464,9.3
465,9.2
466,8.5
467,7.5
468,6.6
469,6.1
470,6.1
471,6.3
472,6.4
473,6.2
474,5.6
475,4.8
476,4
477,3.4
478,3.1
479,3.1
480,3.3
481,3.5
482,3.7
483,3.7
484,3.7
485,3.6
486,3.5
487,3.4
488,3.3
489,3
490,2.6
491,2.2
492,2
493,2.5
494,3.5
495,4.7
496,5.8
497,6.3
498,6
499,5.3
500,4.6
501,4.2
502,4.1
503,4.3
504,4.2
505,3.8
506,3.3
507,2.8
508,2.8
509,3.3
510,4.1
511,4.9
512,5.5
513,5.9
514,6
515,6
516,6
517,6.1
518,6.3
519,6.3
520,6.2
521,5.6
522,4.4
523,2.9
524,1.3
525,0.2
526,0
527,0.5
528,1.5
529,2.5
530,3.1
531,3.3
532,3.3
533,3.4
534,3.6
535,3.7
536,3.4
537,2.7
538,1.8
539,1.1
540,1
541,1.5
542,2.5
543,3.5
544,4.4
545,5
546,5.6
547,6.3
548,7.2
549,8.4
550,9.5
551,10.1
552,10
553,9
554,7.4
555,5.8
556,4.5
557,3.9
558,3.8
559,4
560,3.9
561,3.4
562,2.5
563,1.6
564,1
565,0.7
566,0.5
567,0.2
568,-0.5
569,-1.2
570,-1.9
571,-2
572,-1.7
573,-1.1
574,-0.5
575,-0.2
576,-0.4
577,-1
578,-1.8
579,-2.5
580,-2.9
581,-3
582,-2.7
583,-2.1
584,-1.3
585,-0.8
586,-0.8
587,-1.1
588,-1.6
589,-2
590,-1.9
591,-1.5
592,-0.8
593,-0.3
594,-0.1
595,-0.2
596,-0.3
597,-0.3
598,0
599,0.3
600,0.7
601,0.9
602,1
603,1.2
604,1.5
605,1.9
606,2.1
607,2.3
608,2.4
609,2.4
610,2.5
611,2.7
612,2.8
613,2.9
614,2.9
615,3
616,3.3
617,3.6
618,3.9
619,4
620,3.6
621,2.9
622,2.1
623,1.6
624,1.5
625,1.9
626,2.7
627,3.5
628,4
629,4
630,3.4
631,2.3
632,1
633,-0.1
634,-0.6
635,-0.4
636,0.4
637,1.4
638,2.3
639,2.9
640,3.4
641,4
642,5.1
643,7
644,9.9
645,13.4
646,17.2
647,20.4
648,22.4
649,22.5
650,20.8
651,17.9
652,14.6
653,11.8
654,10.1
655,9.2
656,8.4
657,7.1
658,5
659,2.2
660,-0.6
661,-2.7
