'time','voltage'
0.000,-0.060
0.010,-0.065
0.020,-0.060
0.030,-0.075
0.040,-0.065
0.050,-0.070
0.060,-0.070
0.070,-0.090
0.080,-0.080
0.090,-0.095
0.100,-0.080
0.110,-0.095
0.120,-0.080
0.130,-0.095
0.140,-0.085
0.150,-0.090
0.160,-0.090
0.170,-0.100
0.180,-0.085
0.190,-0.105
0.200,-0.090
0.210,-0.045
0.220,0.005
0.230,0.015
0.240,0.045
0.250,0.155
0.260,0.140
0.270,0.045
0.280,0.005
0.290,-0.040
0.300,-0.085
0.310,-0.200
0.320,-0.195
0.330,-0.200
0.340,-0.200
0.350,-0.240
0.360,-0.130
0.370,0.340
0.380,1.155
0.390,1.470
0.400,-0.155
0.410,-0.825
0.420,-0.590
0.430,-0.350
0.440,-0.155
0.450,-0.170
0.460,-0.140
0.470,-0.155
0.480,-0.115
0.490,-0.125
0.500,-0.090
0.510,-0.095
0.520,-0.065
0.530,-0.055
0.540,-0.015
0.550,-0.005
0.560,0.035
0.570,0.045
0.580,0.090
0.590,0.110
0.600,0.150
0.610,0.180
0.620,0.205
0.630,0.225
0.640,0.230
0.650,0.220
0.660,0.235
0.670,0.230
0.680,0.200
0.690,0.170
0.700,0.120
0.710,0.075
0.720,0.040
0.730,0.020
0.740,0.005
0.750,-0.005
0.760,-0.005
0.770,-0.010
0.780,-0.015
0.790,-0.010
0.800,0.000
0.810,-0.005
0.820,-0.020
0.830,-0.020
0.840,-0.015
0.850,-0.025
0.860,-0.035
0.870,-0.045
0.880,-0.045
0.890,-0.060
0.900,-0.065
0.910,-0.070
0.920,-0.055
0.930,-0.060
0.940,-0.080
0.950,-0.075
0.960,-0.090
0.970,-0.065
0.980,-0.075
0.990,-0.080
1.000,-0.080
1.010,-0.085
1.020,-0.090
1.030,-0.075
1.040,-0.085
1.050,-0.095
1.060,-0.105
1.070,-0.090
1.080,-0.095
1.090,-0.070
1.100,-0.045
1.110,0.005
1.120,0.030
1.130,0.070
1.140,0.195
1.150,0.145
1.160,0.050
1.170,-0.015
1.180,-0.025
1.190,-0.115
1.200,-0.180
1.210,-0.190
1.220,-0.185
1.230,-0.185
1.240,-0.215
1.250,0.010
1.260,0.575
1.270,1.185
1.280,0.960
1.290,-0.160
1.300,-0.740
1.310,-0.640
1.320,-0.350
1.330,-0.175
1.340,-0.145
1.350,-0.150
1.360,-0.145
1.370,-0.105
1.380,-0.120
1.390,-0.090
1.400,-0.085
1.410,-0.070
1.420,-0.040
1.430,-0.020
1.440,0.005
1.450,0.020
1.460,0.045
1.470,0.080
1.480,0.115
1.490,0.140
1.500,0.165
1.510,0.210
1.520,0.190
